ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
759,-2137,529,691,
757,-2118,485,692,
775,-2165,381,693,
788,-2112,312,694,
818,-2083,266,695,
757,-2068,287,696,
765,-2192,276,697,
896,-2281,257,698,
821,-2319,290,699,
936,-2411,292,700,
917,-2370,321,701,
906,-2422,346,702,
1052,-2450,324,703,
862,-2499,343,704,
893,-2460,375,705,
826,-2425,378,706,
783,-2391,391,707,
888,-2337,385,708,
869,-2427,374,709,
875,-2368,357,710,
768,-2277,403,711,
781,-2233,429,712,
788,-2288,392,713,
812,-2360,349,714,
826,-2313,281,715,
780,-2262,296,716,
804,-2220,333,717,
794,-2184,369,718,
840,-2195,359,719,
877,-2230,363,720,
865,-2218,381,721,
885,-2215,334,722,
899,-2227,337,723,
908,-2255,342,724,
961,-2193,350,725,
970,-2211,355,726,
987,-2277,303,727,
1059,-2240,244,728,
1065,-2254,325,729,
1006,-2191,437,730,
954,-2229,445,731,
1001,-2269,391,732,
952,-2211,293,733,
862,-2179,311,734,
883,-2093,336,735,
791,-2106,338,736,
825,-2128,360,737,
823,-2061,324,738,
727,-2036,351,739,
784,-2016,417,740,
705,-2012,459,741,
764,-2032,440,742,
784,-2047,344,743,
740,-2143,334,744,
847,-2132,424,745,
761,-2140,445,746,
795,-2191,380,747,
816,-2218,301,748,
797,-2341,235,749,
867,-2328,189,750,
768,-2332,177,751,
784,-2294,214,752,
735,-2211,335,753,
672,-2246,421,754,
718,-2247,379,755,
650,-2214,321,756,
628,-2207,289,757,
633,-2236,340,758,
727,-2218,386,759,
797,-2249,360,760,
765,-2280,328,761,
803,-2271,256,762,
862,-2322,197,763,
891,-2344,154,764,
936,-2360,154,765,
934,-2352,230,766,
916,-2352,325,767,
1014,-2384,380,768,
1063,-2417,409,769,
1059,-2459,438,770,
1023,-2439,487,771,
951,-2379,527,772,
918,-2274,483,773,
889,-2246,459,774,
906,-2276,438,775,
927,-2269,469,776,
883,-2275,494,777,
849,-2212,371,778,
867,-2171,255,779,
846,-2173,185,780,
835,-2136,185,781,
892,-2121,209,782,
906,-2188,157,783,
926,-2231,176,784,
864,-2184,329,785,
